0,AF,ZA,AX,AL,DZ,DE,DD,AD,AO,AI,AQ,AG,AN,SA,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,BN,BG,BF,BI,CV,KY,KH,CM,CA,CL,CN,CX,CY,CC,CO,KM,CG,CD,CK,KR,KP,CR,CI,HR,CU,CW,DK,DJ,DO,DM,EG,SV,AE,EC,ER,ES,EE,US,ET,FK,FO,FJ,FI,FR,GA,GM,GE,GS,GH,GI,GR,GD,GL,GP,GU,GT,GG,GN,GW,GQ,GY,GF,HT,HM,HN,HK,HU,IM,UM,VG,VI,IN,IO,ID,IR,IQ,IE,IS,IL,IT,JM,JP,JE,JO,KZ,KE,KG,KI,KW,LA,LS,LV,LB,LR,LY,LI,LT,LU,MO,MK,MG,MY,MW,MV,ML,MT,MP,MA,MH,MQ,MU,MR,YT,MX,FM,MD,MC,MN,ME,MS,MZ,MM,Unnamed: 159,NR,NP,NI,NE,NG,NU,NF,NO,NC,NZ,OM,UG,UZ,PK,PW,PS,PA,PG,PY,NL,XX,ZZ,PE,PH,PN,PL,PF,PR,PT,QA,SY,CF,RE,RO,GB,RU,RW,EH,BL,KN,SM,MF,SX,PM,VC,SH,LC,SB,WS,AS,ST,SN,RS,SC,SL,SG,SK,SI,SO,SD,SS,LK,SE,CH,SR,SJ,SZ,TJ,TW,TZ,TD,CS,CZ,TF,TH,TL,TG,TK,TO,TT,TN,TM,TC,TR,TV,UA,SU,UY,VU,VA,VE,VN,VD,WF,YE,YU,ZR,ZM,ZW
ISIR,0,2,0,0,1,18,0,0,0,0,0,0,0,2,0,0,0,7,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,19,0,40,0,0,0,0,3,717,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,4,25,0,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,8,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,7,22,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JFLI,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
L2S,0,2,0,0,28,48,0,0,0,0,0,0,0,21,13,0,0,27,13,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,69,0,4,0,0,0,0,0,7,41,8,140,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,53,0,223,0,0,0,0,20,2511,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,11,0,0,0,0,16,0,0,1,0,12,0,27,261,0,25,0,3,0,0,0,0,0,0,0,0,6,0,0,0,1,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,1,0,0,3,2,0,0,0,20,113,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,38,7,0,0,0,0,3,19,18,0,0,0,0,4,0,0,0,11,0,6,0,0,0,0,0,24,0,0,30,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
LAAS,0,0,0,0,9,92,0,1,0,0,0,0,0,15,4,0,0,35,10,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,52,7,52,0,0,0,18,0,0,0,0,8,0,0,1,1,2,0,16,0,0,0,0,0,1,1,0,90,0,148,0,0,0,0,12,3235,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,6,0,0,0,0,4,0,1,1,0,9,0,11,206,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,16,0,0,0,0,0,59,0,0,2,0,0,12,4,0,8,0,0,0,14,9,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,1,8,0,7,0,0,22,39,0,0,0,0,3,0,0,0,43,0,0,0,0,0,0,0,59,0,0,2,0,1,0,4,0,0,6,3,0,0,0,0,0,0,0
LABRI,0,2,0,0,22,117,0,0,0,0,0,0,0,5,7,0,0,16,39,0,0,0,0,0,0,40,0,0,0,0,0,0,1,0,0,38,0,1,0,0,0,0,0,0,84,11,19,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,10,0,0,0,2,0,1,0,0,75,1,158,0,0,0,0,12,2394,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,40,0,0,1,0,26,0,9,34,0,42,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,19,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,6,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,55,0,0,20,1,0,0,8,11,132,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,6,5,0,0,0,0,20,40,0,0,0,0,1,0,2,0,16,0,0,0,0,0,0,0,31,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
LAB-STICC,0,5,0,0,97,62,0,0,0,0,0,0,0,17,25,0,0,32,12,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,19,0,0,10,0,0,0,0,4,67,2,35,0,1,0,16,0,0,1,0,2,0,0,7,0,0,0,6,0,0,0,2,0,0,0,0,71,1,113,1,0,0,0,6,3255,0,0,0,0,1,0,13,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,13,0,2,6,0,14,5,1,53,0,25,0,2,1,0,0,0,0,0,0,0,120,0,0,0,0,3,0,0,5,1,0,0,0,0,0,36,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,0,0,15,0,0,1,0,0,10,0,0,3,0,1,8,3,0,6,5,0,0,16,9,74,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,4,1,1,0,0,0,1,10,23,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,52,0,0,2,0,19,0,1,0,0,0,8,0,0,0,0,0,0,0
LAMIH,0,0,0,0,30,23,0,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,48,1,24,0,0,0,1,0,0,0,0,5,0,0,3,0,0,0,4,0,0,0,2,0,7,0,0,16,0,33,0,0,0,0,1,1846,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,4,0,3,8,0,2,5,0,11,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,17,0,0,0,0,13,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,0,0,0,0,11,10,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,82,0,0,5,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0
LAMSADE,0,0,0,0,3,38,0,0,0,0,0,0,0,2,2,0,0,23,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,12,0,6,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,3,44,0,0,0,0,2,797,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,1,0,4,64,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,7,0,0,4,0,0,0,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,5,9,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,29,0,0,4,0,0,0,2,0,0,10,1,0,0,0,0,0,0,0
LIG,0,1,0,0,9,124,0,0,0,0,0,0,0,3,1,0,0,34,30,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,111,0,1,2,0,0,0,0,3,26,6,15,0,0,0,16,0,0,0,0,1,0,1,0,0,0,0,18,0,0,0,0,0,1,5,0,67,2,161,3,0,0,0,18,2464,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,2,0,31,1,1,64,0,27,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,6,0,0,2,1,0,0,1,7,0,13,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,45,0,0,1,7,0,6,0,0,13,3,0,0,1,0,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,3,1,0,0,0,0,8,45,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,15,0,0,8,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0
LIGM,0,0,0,0,22,41,0,0,0,0,0,0,0,6,2,0,0,10,8,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,21,7,18,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,11,0,62,0,0,0,0,2,1041,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,9,0,0,0,0,26,0,0,1,0,3,1,12,24,0,20,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,6,0,0,8,0,0,0,1,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,6,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,48,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LIMOS,0,3,0,0,8,19,0,0,0,0,0,0,0,11,4,0,0,3,7,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,17,1,25,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,1,35,0,0,0,0,3,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,3,0,1,0,0,0,0,4,32,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2,0,0,0,0,1,0,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,1,0,0,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIP,0,0,0,1,0,22,0,0,0,0,0,0,0,1,14,0,0,18,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,27,2,35,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,12,0,0,0,0,0,0,0,0,21,3,225,0,0,0,0,25,1196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,0,0,0,0,2,0,13,37,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,33,0,0,2,1,0,0,0,13,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,4,0,0,0,0,8,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LIP6,0,3,0,0,27,103,0,0,0,0,0,0,0,1,2,0,0,18,28,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,89,0,0,2,0,0,0,0,7,75,13,44,0,1,0,2,0,0,0,0,4,0,0,1,1,0,0,12,0,0,0,0,0,5,0,0,40,1,184,0,0,0,0,7,2785,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,12,0,0,2,0,16,1,13,81,0,58,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,13,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,1,1,0,0,1,0,0,0,0,0,32,0,0,0,0,0,24,0,0,22,0,0,0,2,1,102,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,23,1,2,0,0,0,0,23,42,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,37,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0
LIPN,0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,1,0,17,0,0,0,0,16,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,3,0,0,1,0,4,0,0,35,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,1,4,0,0,5,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
LIRIS,0,10,0,0,49,60,0,0,0,0,0,0,0,3,1,0,0,10,9,0,0,0,1,0,0,19,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,43,6,36,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,32,0,0,35,1,114,0,0,0,0,3,1815,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,7,0,6,0,8,35,0,14,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,5,0,0,0,0,0,34,0,0,0,0,0,2,0,0,4,0,0,0,0,3,66,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,4,0,5,0,0,0,0,12,29,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,44,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LIRMM,0,6,0,0,32,129,0,0,0,0,0,0,0,1,4,0,0,31,8,0,0,0,0,0,0,34,0,0,0,0,0,0,2,1,0,137,0,0,3,0,0,0,1,10,67,6,74,0,2,0,3,0,0,0,0,5,0,6,1,2,0,0,12,0,0,0,3,0,4,0,0,61,3,159,1,0,0,0,21,2879,0,0,0,0,0,0,64,0,0,2,0,0,0,0,0,0,0,15,0,0,0,1,6,0,0,0,0,30,0,1,1,0,19,3,10,147,0,123,0,3,0,4,0,0,0,0,0,0,14,0,0,0,1,1,0,0,2,1,0,0,0,1,0,4,0,0,0,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,6,3,0,0,5,0,0,0,0,0,65,0,0,2,0,0,43,2,0,16,0,0,0,20,3,110,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,18,5,6,0,0,0,0,24,63,0,0,0,0,4,0,0,0,14,0,1,0,0,0,0,0,40,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
LIS,0,2,0,0,26,45,0,0,0,0,0,0,0,2,3,0,0,6,16,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,25,0,8,1,0,0,0,0,1,40,13,45,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,47,2,84,0,0,0,0,11,1855,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,6,0,0,0,4,6,0,0,0,0,10,0,0,2,0,6,0,9,103,0,17,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,4,0,34,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,19,4,0,8,0,0,0,8,9,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,10,0,0,0,0,11,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,71,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
LISN,0,0,0,0,4,155,0,1,0,0,0,0,0,12,11,0,0,26,36,0,0,0,0,0,0,21,0,1,0,0,0,0,0,2,0,45,0,1,0,0,0,0,0,3,116,21,101,0,0,0,1,0,0,0,0,9,0,1,0,2,0,0,23,0,0,0,2,0,13,0,0,64,3,291,0,0,0,0,12,3089,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,18,0,0,3,0,9,1,14,75,0,52,0,3,0,0,0,0,0,0,0,1,22,0,0,0,1,16,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,1,0,0,0,0,1,41,0,0,0,0,0,21,2,0,8,1,0,0,1,5,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,3,0,1,0,0,0,0,31,56,0,0,0,0,1,0,1,0,13,0,1,0,0,0,0,0,11,0,0,3,0,3,0,3,0,0,0,8,0,0,0,0,0,0,1
LIX,0,5,0,0,2,50,0,0,0,0,0,0,0,5,3,0,0,15,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,0,0,0,55,2,13,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,15,5,111,0,0,0,0,7,961,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,1,0,1,5,24,52,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,9,0,0,0,1,3,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,0,0,0,0,2,19,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
LMF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LORIA,0,0,0,0,44,352,0,0,0,0,0,0,0,15,3,0,0,25,47,0,0,2,0,0,1,35,0,1,0,0,0,0,0,0,0,40,0,3,2,0,0,0,0,3,73,9,50,0,4,0,4,0,0,0,0,7,0,0,0,1,1,0,20,0,0,0,2,0,3,0,0,52,0,219,0,0,0,0,37,2929,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,16,0,1,0,0,16,0,20,97,0,63,0,2,0,0,0,0,0,0,0,1,6,0,0,0,2,50,0,3,2,1,0,0,0,3,0,19,0,1,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,2,0,1,0,0,0,90,0,0,0,1,0,28,0,0,11,2,0,0,0,9,147,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,10,1,16,0,1,0,0,17,59,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,75,0,0,4,0,24,0,0,0,0,1,3,0,0,0,0,0,0,0
LS2N,0,2,0,0,50,118,0,0,0,0,0,0,0,2,4,0,0,23,21,0,0,0,0,0,28,22,0,4,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,74,23,119,0,0,0,12,0,0,0,0,8,0,0,1,0,0,0,23,0,0,0,4,0,9,0,0,66,8,134,0,0,0,4,18,3410,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,24,0,7,16,1,29,0,14,109,0,61,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,3,0,0,0,34,0,0,4,0,0,7,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,2,0,0,0,20,0,0,0,0,0,8,0,0,11,4,0,0,2,4,105,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,14,0,2,0,0,0,0,32,25,0,0,0,0,1,0,0,0,17,0,2,0,0,0,0,0,36,0,0,6,0,3,0,0,0,0,7,6,0,0,0,0,0,0,0
LMF-LSV,0,0,0,0,0,34,0,0,0,0,0,0,0,0,6,0,0,2,11,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,8,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,0,20,0,0,0,0,0,427,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,8,9,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,2,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDLS,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,9,0,28,0,0,0,0,0,186,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RELAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
