0,AF,ZA,AX,AL,DZ,DE,DD,AD,AO,AI,AQ,AG,AN,SA,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,BN,BG,BF,BI,CV,KY,KH,CM,CA,CL,CN,CX,CY,CC,CO,KM,CG,CD,CK,KR,KP,CR,CI,HR,CU,CW,DK,DJ,DO,DM,EG,SV,AE,EC,ER,ES,EE,US,ET,FK,FO,FJ,FI,FR,GA,GM,GE,GS,GH,GI,GR,GD,GL,GP,GU,GT,GG,GN,GW,GQ,GY,GF,HT,HM,HN,HK,HU,IM,UM,VG,VI,IN,IO,ID,IR,IQ,IE,IS,IL,IT,JM,JP,JE,JO,KZ,KE,KG,KI,KW,LA,LS,LV,LB,LR,LY,LI,LT,LU,MO,MK,MG,MY,MW,MV,ML,MT,MP,MA,MH,MQ,MU,MR,YT,MX,FM,MD,MC,MN,ME,MS,MZ,MM,Unnamed: 159,NR,NP,NI,NE,NG,NU,NF,NO,NC,NZ,OM,UG,UZ,PK,PW,PS,PA,PG,PY,NL,XX,ZZ,PE,PH,PN,PL,PF,PR,PT,QA,SY,CF,RE,RO,GB,RU,RW,EH,BL,KN,SM,MF,SX,PM,VC,SH,LC,SB,WS,AS,ST,SN,RS,SC,SL,SG,SK,SI,SO,SD,SS,LK,SE,CH,SR,SJ,SZ,TJ,TW,TZ,TD,CS,CZ,TF,TH,TL,TG,TK,TO,TT,TN,TM,TC,TR,TV,UA,SU,UY,VU,VA,VE,VN,VD,WF,YE,YU,ZR,ZM,ZW
GREYC,0,1,0,0,36,26,0,0,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,0,30,0,0,0,0,2,883,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,2,30,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
G-SCOP,0,0,0,0,2,19,0,0,0,0,0,0,0,0,1,0,0,2,13,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,32,2,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,10,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,1,0,0,0,2,26,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,1,1,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HEUDIASYC,0,1,0,3,38,11,0,0,0,0,0,0,0,1,2,0,0,4,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,13,0,0,0,0,0,896,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
I3S,0,0,0,0,2,50,0,0,0,0,0,0,0,3,15,0,0,21,17,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,75,0,0,1,0,0,0,0,2,65,16,55,0,2,0,10,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,1,0,1,0,0,33,2,66,0,0,0,0,7,1577,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,1,4,0,18,4,1,143,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,11,0,0,10,0,0,0,10,17,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,0,1,0,0,0,0,16,18,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0
ICUBE,0,0,0,0,8,41,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,1,30,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,87,0,0,0,0,4,2036,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,1,7,0,2,0,2,10,0,9,0,1,1,8,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,1,0,2,8,0,0,3,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,5,17,0,0,0,0,3,0,0,1,6,0,0,0,0,0,0,0,18,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IDRIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAL  (IRL),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRIF,0,1,0,0,0,35,0,0,0,0,0,0,0,0,4,0,0,2,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25,9,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,56,0,0,0,0,4,674,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,2,0,0,3,34,34,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,0,0,4,0,0,0,0,2,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0
IRISA,0,15,0,1,50,212,0,0,0,0,0,0,0,9,10,0,0,46,45,0,0,0,0,0,0,112,0,1,0,0,0,0,0,0,0,87,0,3,2,0,0,0,0,7,161,21,99,0,3,0,2,0,0,0,0,8,0,0,3,7,1,0,51,0,0,0,7,0,2,3,0,116,2,356,0,0,0,0,30,5038,0,0,0,0,0,0,37,0,1,2,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,46,0,5,3,0,29,17,24,144,0,69,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,28,0,2,2,0,0,0,1,8,0,12,0,2,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,0,3,0,0,0,0,0,96,0,0,1,1,0,19,0,1,36,1,0,0,1,8,204,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,18,0,1,0,0,0,0,60,150,0,0,0,0,11,0,0,0,37,0,1,0,0,0,0,0,67,0,0,16,0,0,0,18,0,0,2,6,0,0,0,0,0,0,0
IRIT,0,8,0,3,64,129,0,0,0,0,0,0,0,10,33,6,0,47,54,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,44,0,10,5,0,0,0,0,31,93,31,44,0,4,0,7,0,0,0,0,1,0,2,0,2,0,0,23,0,0,0,2,0,2,13,0,100,2,151,1,0,0,0,23,3589,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,0,0,17,0,0,1,1,17,2,5,99,0,30,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,13,0,0,13,4,0,0,6,0,0,53,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,18,0,0,0,2,0,6,0,0,0,45,0,0,0,0,0,15,0,0,46,4,0,0,5,8,215,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,33,0,2,0,0,0,0,27,35,0,0,0,0,2,0,0,0,12,0,5,0,0,0,0,0,143,0,0,18,0,0,0,1,0,0,2,35,0,0,0,0,0,0,0
