Année,Nom,Total,COMM,ART,COUV,DOUV,OUV,THESE,HDR
2017,LAMIH,399,197,163,7,7,0,25,0
2018,LAMIH,359,166,125,28,8,0,32,0
2019,LAMIH,323,133,140,25,6,0,19,0
2020,LAMIH,295,124,128,17,6,1,18,1
2016,LAMSADE,149,69,59,11,0,5,5,0
2017,LAMSADE,141,62,59,7,0,2,11,0
2018,LAMSADE,152,60,78,6,0,1,7,0
2019,LAMSADE,155,67,60,12,2,3,11,0
2020,LAMSADE,127,57,46,16,1,3,4,0
2016,LIG,516,327,108,17,20,3,41,0
2017,LIG,470,309,88,9,12,2,49,1
2018,LIG,490,302,107,16,12,5,45,3
2019,LIG,397,250,78,18,9,2,37,3
2020,LIG,358,187,97,18,5,4,46,1
2016,LIGM,210,119,76,3,1,1,10,0
2017,LIGM,213,97,81,8,1,1,23,2
2018,LIGM,209,102,69,11,1,3,22,1
2019,LIGM,180,80,82,5,2,1,8,2
2020,LIGM,158,69,71,9,2,0,7,0
2016,LIMOS,214,91,86,18,5,1,11,2
2017,LIMOS,225,98,104,5,1,3,14,0
2018,LIMOS,246,121,96,9,3,2,15,0
2019,LIMOS,223,107,82,14,3,2,15,0
2020,LIMOS,172,81,70,11,2,2,6,0
2016,LIP,216,121,79,2,3,1,9,1
2017,LIP,222,105,82,9,3,2,16,5
2018,LIP,238,129,81,10,0,4,12,2
2019,LIP,174,88,67,4,3,0,9,3
2020,LIP,168,89,57,2,0,0,20,0
2016,LIP6,630,390,161,20,14,5,35,5
2017,LIP6,519,309,133,24,11,3,38,1
2018,LIP6,501,282,147,11,10,4,46,1
2019,LIP6,497,303,128,12,12,5,37,0
2020,LIP6,417,223,121,15,13,6,34,5
2016,LIPN,102,50,30,8,1,0,13,0
2017,LIPN,69,29,24,5,3,0,8,0
2018,LIPN,112,50,40,8,0,1,12,1
2019,LIPN,104,39,42,7,2,0,14,0
2020,LIPN,57,17,25,8,1,1,5,0
2016,LIRIS,388,223,115,13,7,1,28,1
2017,LIRIS,336,176,97,15,11,0,34,3
2018,LIRIS,332,164,108,13,10,2,31,4
2019,LIRIS,318,152,101,18,5,1,40,1
2020,LIRIS,285,122,110,13,6,1,31,2
2016,LIRMM,622,335,205,19,12,1,47,3
2017,LIRMM,551,277,205,19,18,9,23,0
2018,LIRMM,569,281,219,17,8,0,41,3
2019,LIRMM,468,207,197,15,8,4,34,3
2020,LIRMM,393,174,161,17,4,5,31,1
2016,LIS,373,199,136,13,6,3,14,2
2017,LIS,359,187,140,10,6,2,13,1
2018,LIS,357,191,132,9,5,6,14,0
2019,LIS,339,164,119,28,3,8,15,2
2020,LIS,322,151,139,18,3,2,9,0
2016,LISN,649,389,182,10,15,6,45,2
2017,LISN,591,338,191,12,10,2,36,2
2018,LISN,614,352,179,21,16,3,41,2
2019,LISN,520,295,149,21,12,3,38,2
2020,LISN,413,187,168,17,6,3,29,3
2016,LIX,129,80,35,3,1,1,7,2
2017,LIX,158,75,50,9,1,7,15,1
2018,LIX,179,74,82,11,4,0,8,0
