,AF,ZA,AX,AL,DZ,DE,DD,AD,AO,AI,AQ,AG,AN,SA,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BV,BR,BN,BG,BF,BI,CV,KY,KH,CM,CA,CL,CN,CX,CY,CC,CO,KM,CG,CD,CK,KR,KP,CR,CI,HR,CU,CW,DK,DJ,DO,DM,EG,SV,AE,EC,ER,ES,EE,US,ET,FK,FO,FJ,FI,FR,GA,GM,GE,GS,GH,GI,GR,GD,GL,GP,GU,GT,GG,GN,GW,GQ,GY,GF,HT,HM,HN,HK,HU,IM,UM,VG,VI,IN,IO,ID,IR,IQ,IE,IS,IL,IT,JM,JP,JE,JO,KZ,KE,KG,KI,KW,LA,LS,LV,LB,LR,LY,LI,LT,LU,MO,MK,MG,MY,MW,MV,ML,MT,MP,MA,MH,MQ,MU,MR,YT,MX,FM,MD,MC,MN,ME,MS,MZ,MM,,NR,NP,NI,NE,NG,NU,NF,NO,NC,NZ,OM,UG,UZ,PK,PW,PS,PA,PG,PY,NL,XX,ZZ,PE,PH,PN,PL,PF,PR,PT,QA,SY,CF,RE,RO,GB,RU,RW,EH,BL,KN,SM,MF,SX,PM,VC,SH,LC,SB,WS,AS,ST,SN,RS,SC,SL,SG,SK,SI,SO,SD,SS,LK,SE,CH,SR,SJ,SZ,TJ,TW,TZ,TD,CS,CZ,TF,TH,TL,TG,TK,TO,TT,TN,TM,TC,TR,TV,UA,SU,UY,VU,VA,VE,VN,VD,WF,YE,YU,ZR,ZM,ZW
IRISA,0,16,0,1,51,216,0,0,0,0,0,0,0,9,10,0,0,46,47,0,0,0,0,0,0,113,0,1,0,0,0,0,0,0,0,87,0,3,2,0,0,0,0,7,163,21,99,0,3,0,2,0,0,0,0,8,0,0,3,7,1,0,51,0,0,0,7,0,2,3,0,117,2,362,0,0,0,0,30,5088,0,0,0,0,0,0,37,0,1,2,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,47,0,5,3,0,29,17,25,145,0,69,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,28,0,2,2,0,0,0,1,8,0,12,0,2,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,7,0,0,0,3,0,0,0,0,0,99,0,0,1,1,0,19,0,1,36,1,0,0,2,8,207,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,18,0,1,0,0,0,0,64,150,0,0,0,0,11,0,0,0,38,0,1,0,0,0,0,0,67,0,0,16,0,0,0,18,0,0,2,6,0,0,0,0,0,0,0
ISIR,0,2,0,0,3,18,0,0,0,0,0,0,0,2,0,0,0,7,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,19,0,41,0,0,0,0,3,736,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,4,26,0,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,8,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,7,23,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UMI-3527,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LABRI,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMIH,0,0,0,0,29,23,0,0,0,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,48,1,24,0,0,0,1,0,0,0,0,5,0,0,3,0,0,0,4,0,0,0,2,0,7,0,0,16,0,33,0,0,0,0,1,1846,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,4,0,3,8,0,2,5,0,11,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,17,0,0,0,0,13,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,0,0,0,0,12,11,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,81,0,0,4,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0
LIMOS,0,3,0,0,8,19,0,0,0,0,0,0,0,11,4,0,0,3,7,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,17,1,25,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,2,35,0,0,0,0,3,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,3,0,1,0,0,1,0,4,32,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2,0,0,0,0,1,0,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,1,0,0,0,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPSM,0,1,0,0,0,20,0,0,0,0,0,0,0,1,1,0,0,8,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,8,0,48,0,0,0,0,4,742,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,2,0,2,1,4,30,0,13,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,5,0,0,1,0,0,0,2,1,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,0,0,4,14,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMSADE-DAUPHINE,0,0,0,0,3,38,0,0,0,0,0,0,0,2,2,0,0,23,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,12,0,6,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,3,44,0,0,0,0,2,798,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,1,0,4,64,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,7,0,0,4,0,0,0,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,5,9,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,29,0,0,4,0,0,0,2,0,0,10,1,0,0,0,0,0,0,0
LS2N,0,2,0,0,45,97,0,0,0,0,0,0,0,2,3,0,0,12,19,0,0,0,0,0,21,17,0,3,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,60,17,103,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,19,0,0,0,4,0,8,0,0,47,4,120,0,0,0,2,17,2834,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,18,0,7,16,1,25,0,13,86,0,47,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,1,0,0,0,21,0,0,4,0,0,7,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,2,0,0,0,17,0,0,0,0,0,5,0,0,11,4,0,0,2,4,84,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,11,0,2,0,0,0,0,26,19,0,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,23,0,0,6,0,2,0,0,0,0,7,6,0,0,0,0,0,0,0
