Année,Nom,Total,Article,Conference Paper,Data Paper,Book,Book Chapter,Editorial,Erratum,Letter,Review,Short Survey,Note,Retracted
2019,LIS,252,97,143,0,1,8,0,2,1,0,0,0,0
2020,LIS,226,112,106,0,0,2,2,1,0,3,0,0,0
2016,LIMSI,197,82,103,0,0,4,4,0,1,3,0,0,0
2017,LIMSI,163,63,86,0,0,10,1,0,1,2,0,0,0
2018,LIMSI,161,73,74,0,1,3,4,0,0,4,2,0,0
2019,LIMSI,151,63,78,0,0,4,4,0,2,0,0,0,0
2020,LIMSI,140,66,66,0,0,1,3,0,0,4,0,0,0
2016,LRI,199,75,120,0,0,0,2,0,0,2,0,0,0
2017,LRI,197,79,113,0,0,2,2,0,0,1,0,0,0
2018,LRI,203,75,118,0,2,2,2,0,0,4,0,0,0
2019,LRI,148,53,90,0,0,4,1,0,0,0,0,0,0
2020,LRI,135,54,74,0,0,3,0,1,0,3,0,0,0
2016,LIX,140,54,81,0,0,1,3,0,0,1,0,0,0
2017,LIX,144,66,71,0,0,4,2,0,0,1,0,0,0
2018,LIX,160,75,73,0,1,5,3,0,0,3,0,0,0
2019,LIX,153,68,78,0,0,3,3,1,0,0,0,0,0
2020,LIX,151,61,60,0,0,25,2,1,0,1,0,1,0
2016,LORIA,282,83,175,0,2,11,7,0,0,3,0,1,0
2017,LORIA,295,83,187,0,1,12,9,0,0,3,0,0,0
2018,LORIA,298,92,187,0,0,6,11,0,0,2,0,0,0
2019,LORIA,310,106,176,0,0,15,9,1,0,3,0,0,0
2020,LORIA,303,108,172,1,0,7,7,1,1,5,1,0,0
2016,LS2N,416,166,234,0,0,12,3,0,0,1,0,0,0
2017,LS2N,370,165,186,0,0,10,4,1,0,4,0,0,0
2018,LS2N,440,156,260,0,1,13,8,0,0,2,0,0,0
2019,LS2N,395,145,206,0,0,25,8,0,1,9,1,0,0
2020,LS2N,354,149,177,0,0,11,6,1,0,9,0,0,1
2016,LSV,81,22,55,0,0,2,1,0,0,1,0,0,0
2017,LSV,67,25,38,0,0,2,2,0,0,0,0,0,0
2018,LSV,81,27,50,0,0,4,0,0,0,0,0,0,0
2019,LSV,78,21,54,0,0,1,2,0,0,0,0,0,0
2020,LSV,70,24,39,0,0,3,2,2,0,0,0,0,0
2016,MDLS,39,26,11,0,0,1,0,0,0,1,0,0,0
2017,MDLS,37,27,9,0,0,0,0,0,0,1,0,0,0
2018,MDLS,39,28,9,0,0,0,1,0,0,1,0,0,0
2019,MDLS,39,31,7,0,0,0,0,1,0,0,0,0,0
2020,MDLS,42,34,6,0,0,1,0,0,0,1,0,0,0
2016,STMS,46,24,21,0,0,0,1,0,0,0,0,0,0
2017,STMS,49,17,30,0,0,1,1,0,0,0,0,0,0
2018,STMS,42,13,22,0,0,3,0,0,2,2,0,0,0
2019,STMS,53,15,36,0,0,0,0,0,0,2,0,0,0
2020,STMS,33,25,7,0,0,0,0,0,0,1,0,0,0
2016,TIMA,106,30,74,0,0,2,0,0,0,0,0,0,0
2017,TIMA,82,16,59,0,0,3,4,0,0,0,0,0,0
2018,TIMA,68,24,41,0,0,0,2,0,0,1,0,0,0
2019,TIMA,78,19,54,0,1,1,1,0,0,2,0,0,0
2020,TIMA,65,23,39,0,1,2,0,0,0,0,0,0,0
2016,TIMC IMAG,161,121,11,0,0,2,1,0,11,9,6,0,0
2017,TIMC IMAG,177,125,13,0,1,11,2,0,9,9,4,3,0
2018,TIMC IMAG,186,142,19,0,0,3,1,2,8,10,1,0,0
2019,TIMC IMAG,175,134,18,0,0,2,2,0,9,6,3,1,0
2020,TIMC IMAG,198,155,8,0,0,2,2,0,9,14,4,4,0
2016,VERIMAG,105,44,56,0,0,2,1,0,1,1,0,0,0
2017,VERIMAG,68,32,32,0,0,4,0,0,0,0,0,0,0
2018,VERIMAG,61,16,38,0,0,4,3,0,0,0,0,0,0
2019,VERIMAG,57,18,33,0,0,4,1,0,0,1,0,0,0
2020,VERIMAG,33,10,22,0,0,0,0,1,0,0,0,0,0
