,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
15,2-s2.0-85097762552,10.3389/fneur.2020.584304,,,Surface Electromyography in Physiotherapist Educational Program in France: Enhancing Learning sEMG in Stretching Practice,ar,Article,Portero P.,,Université Paris-Est Créteil,Creteil,France,,,,,2020-12-03,3 December 2020,Frontiers in Neurology,,21100212316,16642295,Journal,11,,584304,,,,0,1,repositoryvor,Green,,,
16,2-s2.0-85098454705,10.1016/j.fsidi.2020.301023,S2666281720301384,,Learn with diversity and from harder samples: Improving the generalization of CNN-Based detection of computer-generated images,ar,Article,Quan W.,,Universite Grenoble Alpes;University of Chinese Academy of Sciences;Institute of Automation Chinese Academy of Sciences,Saint Martin d'Heres;Beijing;Beijing,France;China;China,,,,,2020-12-01,December 2020,Forensic Science International: Digital Investigation,26662825,21101032719,26662817,Journal,35,,301023,,,,5,0,repositoryam,Green,,,
17,2-s2.0-85097939886,10.1109/TCNS.2020.2999304,,,Average State Estimation in Large-Scale Clustered Network Systems,ar,Article,Niazi M.U.B.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,IEEE Transactions on Control of Network Systems,,21100358105,23255870,Journal,7,4,9105109,1736-1745,,,4,0,repositoryam,Green,,,
18,2-s2.0-85097642125,10.1109/TAC.2020.2970424,,,On the Use of Supervised Clustering in Stochastic NMPC Design,ar,Article,Alamir M.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,IEEE Transactions on Automatic Control,00189286,17339,15582523,Journal,65,12,8976069,5392-5398,,,0,0,repositoryam,Green,,,
19,2-s2.0-85096102392,10.3390/computers9040092,,,Recommendations for integrating a P300-based brain–computer interface in virtual reality environments for gaming: An update,re,Review,Cattan G.,,IBM Polska Sp. z o.o.,Warsaw,Poland,,,,,2020-12-01,December 2020,Computers,,21100886391,2073431X,Journal,9,4,92,1-26,,,6,1,repositoryam,Green,,,
20,2-s2.0-85095829115,10.1038/s41598-020-76594-1,,33177590,The role of isochrony in speech perception in noise,ar,Article,Aubanel V.,,Universite Grenoble Alpes,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,Scientific Reports,,21100200805,20452322,Journal,10,1,19580,,,,3,1,repositoryvor,Green,,,
21,2-s2.0-85091276591,10.1109/THMS.2020.3016079,,,3-D Interface for the P300 Speller BCI,ar,Article,Noorzadeh S.,,Grenoble Images Parole Signal Automatique,Saint Martin d'Heres,France,,,,,2020-12-01,December 2020,IEEE Transactions on Human-Machine Systems,21682291,21100285028,21682305,Journal,50,6,9199101,604-612,,,2,0,repositoryam,Green,,,
22,2-s2.0-85086722301,10.1109/TCNS.2020.3000694,,,Model Reduction Based Approximation of the Output Controllability Gramian in Large-Scale Networks,ar,Article,Casadei G.,,École Centrale de Lyon,Ecully,France,,,,,2020-12-01,December 2020,IEEE Transactions on Control of Network Systems,,21100358105,23255870,Journal,7,4,9112314,1778-1788,,,3,0,repositoryam,Green,,,
23,2-s2.0-85082762054,10.1186/s13673-020-00215-z,,,Exploring coupled images fusion based on joint tensor decomposition,ar,Article,Lu L.,,Tianjin University,Tianjin,China,,,,,2020-12-01,1 December 2020,Human-centric Computing and Information Sciences,,21100358314,21921962,Journal,10,1,10,,,,1,1,repositoryam,Green,,,
24,2-s2.0-85076688186,10.1159/000504452,,31825928,Assessing the Representation of Phonological Rules by a Production Study of Non-Words in Coratino,ar,Article,Bucci J.,,Université Côte d'Azur,Nice,France,,,,,2020-12-01,December 2020,Phonetica,00318388,25672,14230321,Journal,77,6,,405-428,,,1,0,repositoryam,Green,,,
