,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
15,2-s2.0-85077253060,10.1109/TIE.2019.2960739,,,Super-Twisting Algorithm-Based Time-Varying Delay Estimation with External Signal,ar,Article,Deng Y.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-12-01,December 2020,IEEE Transactions on Industrial Electronics,02780046,26053,15579948,Journal,67,12,8941257,10663-10671,,,5,0,repositoryam,Green,,,
16,2-s2.0-85084423602,10.1016/j.neucom.2019.11.110,S0925231220305002,,Metric learning with submodular functions,ar,Article,Pan J.,,Université de Nantes,Nantes,France,,,,,2020-11-27,27 November 2020,Neurocomputing,09252312,24807,18728286,Journal,416,,,328-339,,,1,1,repositoryam,Green,,,
17,2-s2.0-85097986807,10.1063/5.0026524,,,Nonlinear optimal control for the industrial crystallization process,cp,Conference Paper,Rigatos G.,,Industrial Systems Institute,Patra,Greece,,,,,2020-11-24,24 November 2020,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2293,,310004,,,,0,0,,,,,
18,2-s2.0-85097977200,10.1063/5.0026538,,,A nonlinear optimal control approach for distributed marine-turbine power generation units,cp,Conference Paper,Rigatos G.,,Industrial Systems Institute,Patra,Greece,,,,,2020-11-24,24 November 2020,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2293,,310006,,,,0,0,,,,,
19,2-s2.0-85096616959,10.1016/j.celrep.2020.108419,S221112472031408X,33238118,Induction of Human Trophoblast Stem Cells from Somatic Cells and Pluripotent Stem Cells,ar,Article,Castel G.,,Université de Nantes,Nantes,France,,,,,2020-11-24,24 November 2020,Cell Reports,,21100201068,22111247,Journal,33,8,108419,,,,30,1,publisherfullgold,Gold,,,
20,2-s2.0-85100347926,10.1109/ICRAE50850.2020.9310900,,,On the Reconfiguration of Cable-Driven Parallel Robots with Multiple Mobile Cranes,cp,Conference Paper,Tan H.,,Institut Teknologi Sepuluh Nopember,Surabaya,Indonesia,,,,,2020-11-20,20 November 2020,"2020 5th International Conference on Robotics and Automation Engineering, ICRAE 2020",,21101034606,,Conference Proceeding,,,9310900,126-130,,,3,0,repositoryam,Green,,,
21,2-s2.0-85097711159,10.1145/3426425.3426930,,,Annotating executable DSLs with energy estimation formulas,cp,Conference Paper,Béziers La Fosse T.,,Laboratoire des Sciences du Numérique de Nantes;IMT Atlantique;I CAM,Nantes;Nantes;Toulouse,France;France;France,,,,,2020-11-16,16 November 2020,"SLE 2020 - Proceedings of the 13th ACM SIGPLAN International Conference on Software Language Engineering, Co-located with SPLASH 2020",,21101080962,,Conference Proceeding,,,,22-38,,,0,0,repositoryvor,Green,,,
22,2-s2.0-85100869337,10.1109/EPEC48502.2020.9320009,,,Robust constrained controller design for HVDC link embedded in a large-scale AC grid,cp,Conference Paper,Kamal E.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-11-09,9 November 2020,"2020 IEEE Electric Power and Energy Conference, EPEC 2020",,21101037902,,Conference Proceeding,,,9320009,,,,0,0,repositoryam,Green,,,
23,2-s2.0-85100867563,10.1109/EPEC48502.2020.9320020,,,EMT Implementation and Validation of MPC for VSC-HVDC Embedded in AC Meshed Grid,cp,Conference Paper,Thau E.,,Ecole Centrale de Nantes,Nantes,France,,,,,2020-11-09,9 November 2020,"2020 IEEE Electric Power and Energy Conference, EPEC 2020",,21101037902,,Conference Proceeding,,,9320020,,,,0,0,repositoryam,Green,,,
24,2-s2.0-85100859211,10.1109/EPEC48502.2020.9320043,,,Exhaustive modal analysis of interconnected european power system,cp,Conference Paper,Kouki M.,,Ecole Centrale de Nantes,Nantes,France,,,,,2020-11-09,9 November 2020,"2020 IEEE Electric Power and Energy Conference, EPEC 2020",,21101037902,,Conference Proceeding,,,9320043,,,,1,0,repositoryam,Green,,,
